,,,,"26418 - INST.FED.DE EDUC.,CIENC.E TEC.DE PERNAMBUCO",,,,,,,,,,REFERÊNCIA:,,,,12/2024,,,
,,,,151911 - IFPE - CAMPUS AFOGADOS DA INGAZEIRA,,,,,,,,,,NATUREZA BENS:,,,,MATERIAL DE CONSUMO,,,
,,,,"26418 - INST.FED.DE EDUC.,CIENC.E TEC.DE PERNAMBUCO",,,,,,,,,,,,,,,,,
,,,,BALANÇO FISICO-FINANCEIRO DE MATERIAIS EM ALMOXARIFADO,,,,,,,,,,,,,,,,,
CONTA,,,,,,SALDO ANTERIOR,,ENTRADAS ORÇAMENTARIAS,,ENTRADAS EXTRA-ORÇAMENTARIA,,ENTRADAS ALTERAÇÃO DE CONTA,,,,SAIDA,SAIDAS ALTERAÇÃO DE CONTA,,,SALDO ATUAL,
115610100 - MATERIAIS DE CONSUMO,,,,,,,,,,,,,,,,,,,,,
14 - MATERIAL EDUCATIVO E ESPORTIVO,,,,,,,,,,,,,,,,,,,,,
,000424218 - MEDALHA EM BRONZE COMEMORATIVA - UNID: 00001 - UN,,,,,,,,,,,,,,,,,,,,
,Descrição Complementar:,,,,    -    ,,,,,,,,,,,,,,,,
,,,Quantidade,,,,19,,0,,0,,0,,0,,,0,,19,
,,,Valor (R$),,,,34.20,,0.00,,0.00,,0.00,,0.00,,,0.00,,34.20,
,"000503231 - CRONOMETRO DIGITAL RESISTENTE AGUA/REFERENCIA 4TM11, 365510 A , - UNID: 00001 - UN",,,,,,,,,,,,,,,,,,,,
,Descrição Complementar:,,,,    -    ,,,,,,,,,,,,,,,,
,,,Quantidade,,,,5,,0,,0,,0,,0,,,0,,5,
,,,Valor (R$),,,,359.25,,0.00,,0.00,,0.00,,0.00,,,0.00,,359.25,
,"000819808 - APITO EM PLáSTICO, PROFISSIONAL,  COM ARGOLA PARA FIXAçãO - UNID: 00001 - UN",,,,,,,,,,,,,,,,,,,,
,Descrição Complementar:,,,,    -    ,,,,,,,,,,,,,,,,
,,,Quantidade,,,,11,,0,,0,,0,,0,,,0,,11,
,,,Valor (R$),,,,141.57,,0.00,,0.00,,0.00,,0.00,,,0.00,,141.57,
,"000926469 - PRANCHETA TATICA,MAGNETICA PARA FUTSAL - UNID: 00001 - UN",,,,,,,,,,,,,,,,,,,,
,Descrição Complementar:,,,,    -    ,,,,,,,,,,,,,,,,
,,,Quantidade,,,,1,,0,,0,,0,,0,,,0,,1,
,,,Valor (R$),,,,82.00,,0.00,,0.00,,0.00,,0.00,,,0.00,,82.00,
,001044176 - CANELEIRA PARA FUTSAL - UNID: 00001 - UN,,,,,,,,,,,,,,,,,,,,
,Descrição Complementar:,,,,    -    ,,,,,,,,,,,,,,,,
,,,Quantidade,,,,3,,0,,0,,0,,0,,,0,,3,
,,,Valor (R$),,,,28.50,,0.00,,0.00,,0.00,,0.00,,,0.00,,28.50,
,001052250 - BICO PARA BOMBA DE ENCHER BOLA - UNID: 00001 - UN,,,,,,,,,,,,,,,,,,,,
,Descrição Complementar:,,,,    -    ,,,,,,,,,,,,,,,,
,,,Quantidade,,,,4,,0,,0,,0,,0,,,0,,4,
,,,Valor (R$),,,,9.96,,0.00,,0.00,,0.00,,0.00,,,0.00,,9.96,
,001126377 - BOLA FUTEBOL DE CAMPO - UNID: 00001 - UN,,,,,,,,,,,,,,,,,,,,
,Descrição Complementar:,,,,    -    ,,,,,,,,,,,,,,,,
,,,Quantidade,,,,5,,0,,0,,0,,0,,,0,,5,
,,,Valor (R$),,,,275.00,,0.00,,0.00,,0.00,,0.00,,,0.00,,275.00,
EMITIDO POR:,,078.691.994-94 - RICARDO EMANUEL FERREIRA SILVA em 10/12/2024 15:42:19,,,,,,,,,,,,,,,,,Página : 1/,,62
,,,,"26418 - INST.FED.DE EDUC.,CIENC.E TEC.DE PERNAMBUCO",,,,,,,,,,REFERÊNCIA:,,,,12/2024,,,
,,,,151911 - IFPE - CAMPUS AFOGADOS DA INGAZEIRA,,,,,,,,,,NATUREZA BENS:,,,,MATERIAL DE CONSUMO,,,
